split,cohort,model,c_index
22,Terunuma,M2EFM_ExpClin,0.697102721685689
22,Terunuma,Clinical,0.659350307287094
23,TCGA_test,M2EFM_Molecular,0.662906258393769
23,TCGA_test,M2EFM_ExpClin,0.71286596830513
23,TCGA_test,Clinical,0.738651625033575
23,Kao,M2EFM_Molecular,0.696258358230189
23,Kao,M2EFM_ExpClin,0.728695404751743
23,Kao,Clinical,0.64188836724048
23,Terunuma,M2EFM_Molecular,0.643546971027217
23,Terunuma,M2EFM_ExpClin,0.68305531167691
23,Terunuma,Clinical,0.662862159789289
24,TCGA_test,M2EFM_Molecular,0.585667944559127
24,TCGA_test,M2EFM_ExpClin,0.720731347685049
24,TCGA_test,Clinical,0.796962547920967
24,Kao,M2EFM_Molecular,0.696305780812823
24,Kao,M2EFM_ExpClin,0.726845924029023
24,Kao,Clinical,0.635201783089107
24,Terunuma,M2EFM_Molecular,0.648814749780509
24,Terunuma,M2EFM_ExpClin,0.68305531167691
24,Terunuma,Clinical,0.656716417910448
25,TCGA_test,M2EFM_Molecular,0.627398081534772
25,TCGA_test,M2EFM_ExpClin,0.744904076738609
25,TCGA_test,Clinical,0.72886690647482
25,Kao,M2EFM_Molecular,0.709346991037132
25,Kao,M2EFM_ExpClin,0.717835633328591
25,Kao,Clinical,0.617608004931949
25,Terunuma,M2EFM_Molecular,0.633889376646181
25,Terunuma,M2EFM_ExpClin,0.680421422300263
25,Terunuma,Clinical,0.665496049165935
26,TCGA_test,M2EFM_Molecular,0.739105504587156
26,TCGA_test,M2EFM_ExpClin,0.787270642201835
26,TCGA_test,Clinical,0.758314220183486
26,Kao,M2EFM_Molecular,0.684639825484896
26,Kao,M2EFM_ExpClin,0.698629487361882
26,Kao,Clinical,0.604377104377104
26,Terunuma,M2EFM_Molecular,0.645302897278314
26,Terunuma,M2EFM_ExpClin,0.673397717295874
26,Terunuma,Clinical,0.659350307287094
27,TCGA_test,M2EFM_Molecular,0.792933036817396
27,TCGA_test,M2EFM_ExpClin,0.85470719051149
27,TCGA_test,Clinical,0.768717568569311
27,Kao,M2EFM_Molecular,0.69170579029734
27,Kao,M2EFM_ExpClin,0.705553184426424
27,Kao,Clinical,0.621970882534263
27,Terunuma,M2EFM_Molecular,0.639157155399473
27,Terunuma,M2EFM_ExpClin,0.687445127304653
27,Terunuma,Clinical,0.665496049165935
28,TCGA_test,M2EFM_Molecular,0.682954545454546
28,TCGA_test,M2EFM_ExpClin,0.717234848484849
28,TCGA_test,Clinical,0.679545454545455
28,Kao,M2EFM_Molecular,0.692417129036847
28,Kao,M2EFM_ExpClin,0.692701664532651
28,Kao,Clinical,0.585502916488832
28,Terunuma,M2EFM_Molecular,0.615452151009658
28,Terunuma,M2EFM_ExpClin,0.677787532923617
28,Terunuma,Clinical,0.655838454784899
29,TCGA_test,M2EFM_Molecular,0.718225419664269
29,TCGA_test,M2EFM_ExpClin,0.802158273381295
29,TCGA_test,Clinical,0.780075939248601
29,Kao,M2EFM_Molecular,0.687674870773462
29,Kao,M2EFM_ExpClin,0.714278939631052
29,Kao,Clinical,0.605325556029781
29,Terunuma,M2EFM_Molecular,0.71027216856892
29,Terunuma,M2EFM_ExpClin,0.694468832309043
29,Terunuma,Clinical,0.662862159789289
30,TCGA_test,M2EFM_Molecular,0.624824026278742
30,TCGA_test,M2EFM_ExpClin,0.713749413420929
30,TCGA_test,Clinical,0.682191459408728
30,Kao,M2EFM_Molecular,0.700194432588799
30,Kao,M2EFM_ExpClin,0.70180680039835
30,Kao,Clinical,0.579006022667995
30,Terunuma,M2EFM_Molecular,0.653204565408253
30,Terunuma,M2EFM_ExpClin,0.692712906057946
30,Terunuma,Clinical,0.655838454784899
31,TCGA_test,M2EFM_Molecular,0.666437886067262
31,TCGA_test,M2EFM_ExpClin,0.724090597117364
31,TCGA_test,Clinical,0.747311827956989
31,Kao,M2EFM_Molecular,0.711812965334092
31,Kao,M2EFM_ExpClin,0.712619149238868
31,Kao,Clinical,0.608218333570446
31,Terunuma,M2EFM_Molecular,0.632133450395083
31,Terunuma,M2EFM_ExpClin,0.705004389815628
31,Terunuma,Clinical,0.661106233538192
32,TCGA_test,M2EFM_Molecular,0.626285714285714
32,TCGA_test,M2EFM_ExpClin,0.7424
32,TCGA_test,Clinical,0.768457142857143
32,Kao,M2EFM_Molecular,0.686062502963911
32,Kao,M2EFM_ExpClin,0.708398539384455
32,Kao,Clinical,0.613814198321241
32,Terunuma,M2EFM_Molecular,0.609306409130817
32,Terunuma,M2EFM_ExpClin,0.676909569798069
32,Terunuma,Clinical,0.665496049165935
33,TCGA_test,M2EFM_Molecular,0.78744769874477
33,TCGA_test,M2EFM_ExpClin,0.788005578800558
33,TCGA_test,Clinical,0.666666666666667
33,Kao,M2EFM_Molecular,0.698439797031346
33,Kao,M2EFM_ExpClin,0.698629487361882
33,Kao,Clinical,0.618461611419358
33,Terunuma,M2EFM_Molecular,0.659350307287094
33,Terunuma,M2EFM_ExpClin,0.692712906057946
33,Terunuma,Clinical,0.665496049165935
34,TCGA_test,M2EFM_Molecular,0.611671315168419
34,TCGA_test,M2EFM_ExpClin,0.712937137953229
34,TCGA_test,Clinical,0.750160909676035
34,Kao,M2EFM_Molecular,0.649262578840044
