split,model,c_index
97,M2EFM Meth+Exp+Clin,0.747836122331218
97,Clin,0.763127524523947
98,M2EFM Meth+Exp,0.68999300209937
98,M2EFM Meth+Exp+Clin,0.766620013995801
98,Clin,0.714835549335199
99,M2EFM Meth+Exp,0.710649350649351
99,M2EFM Meth+Exp+Clin,0.814025974025974
99,Clin,0.785974025974026
100,M2EFM Meth+Exp,0.666666666666667
100,M2EFM Meth+Exp+Clin,0.742492492492493
100,Clin,0.722222222222222
