split,cohort,model,c_index
90,TCGA_test,Clinical,0.827420324714372
91,TCGA_test,M2EFM_Molecular,0.727990970654628
91,TCGA_test,M2EFM_ExpClin,0.763544018058691
91,TCGA_test,Clinical,0.649548532731377
92,TCGA_test,M2EFM_Molecular,0.666141732283465
92,TCGA_test,M2EFM_ExpClin,0.714566929133858
92,TCGA_test,Clinical,0.721062992125984
93,TCGA_test,M2EFM_Molecular,0.597031335898846
93,TCGA_test,M2EFM_ExpClin,0.679494227597581
93,TCGA_test,Clinical,0.718801539307312
94,TCGA_test,M2EFM_Molecular,0.756085686465433
94,TCGA_test,M2EFM_ExpClin,0.820837390457644
94,TCGA_test,Clinical,0.798442064264849
95,TCGA_test,M2EFM_Molecular,0.684907325684025
95,TCGA_test,M2EFM_ExpClin,0.771844660194175
95,TCGA_test,Clinical,0.742939099735216
96,TCGA_test,M2EFM_Molecular,0.716795502459592
96,TCGA_test,M2EFM_ExpClin,0.800421644413212
96,TCGA_test,Clinical,0.754567814476458
97,TCGA_test,M2EFM_Molecular,0.626081938834391
97,TCGA_test,M2EFM_ExpClin,0.747836122331218
97,TCGA_test,Clinical,0.763127524523947
98,TCGA_test,M2EFM_Molecular,0.68999300209937
98,TCGA_test,M2EFM_ExpClin,0.766620013995801
98,TCGA_test,Clinical,0.714835549335199
99,TCGA_test,M2EFM_Molecular,0.710649350649351
99,TCGA_test,M2EFM_ExpClin,0.814025974025974
99,TCGA_test,Clinical,0.785974025974026
100,TCGA_test,M2EFM_Molecular,0.666666666666667
100,TCGA_test,M2EFM_ExpClin,0.742492492492493
100,TCGA_test,Clinical,0.722222222222222
